model,vendor,family,arch,thinking,params_B,active_B,release_date,pen_acc,raw_acc,total,log10_params,log10_active,months,year_frac,date
nemotron-3-super-120b,nvidia,nemotron,moe,False,120.0,12.0,2026-03-11,0.4460714285714285,0.55,,2.0791812460476247,1.0791812460476249,26.333333333333332,2.194444444444444,2026-03-11
minimax-m2.7-think,minimax,minimax,moe,True,230.0,10.0,2026-03-18,0.4089285714285715,0.475,,2.361727836017593,1.0,26.566666666666666,2.213888888888889,2026-03-18
gemma-4-31b,google,gemma4,dense,False,31.0,31.0,2026-04-02,0.31285714285714283,0.4228571428571429,,1.4913616938342726,1.4913616938342726,27.033333333333335,2.2527777777777778,2026-04-02
gemma-4-26b-a4b,google,gemma4,moe,False,26.0,4.0,2026-04-02,0.3125,0.42,,1.414973347970818,0.6020599913279624,27.033333333333335,2.2527777777777778,2026-04-02
glm-5.1-think,zhipu,glm,moe,True,754.0,40.0,2026-04-07,0.5782142857142858,0.67,,2.877371345869774,1.6020599913279623,27.2,2.2666666666666666,2026-04-07
kimi-k2.6-think,moonshot,kimi,moe,True,1040.0,32.0,2026-04-20,0.6239285714285714,0.6492857142857142,,3.0170333392987803,1.505149978319906,27.633333333333333,2.3027777777777776,2026-04-20
ling-2.6-flash,inclusionai,ling,moe,False,104.0,7.4,2026-04-22,0.13714285714285715,0.18428571428571427,,2.0170333392987803,0.8692317197309762,27.7,2.308333333333333,2026-04-22
deepseek-v4-pro,deepseek,deepseek,moe,False,1600.0,49.0,2026-04-24,0.5989285714285716,0.6471428571428571,,3.2041199826559246,1.6901960800285136,27.766666666666666,2.3138888888888887,2026-04-24
deepseek-v4-flash-think,deepseek,deepseek,moe,True,284.0,13.0,2026-04-24,0.5685714285714285,0.67,,2.4533183400470375,1.1139433523068367,27.766666666666666,2.3138888888888887,2026-04-24
deepseek-v4-flash,deepseek,deepseek,moe,False,284.0,13.0,2026-04-24,0.5625,0.6714285714285714,,2.4533183400470375,1.1139433523068367,27.766666666666666,2.3138888888888887,2026-04-24
deepseek-v4-pro-think,deepseek,deepseek,moe,True,1600.0,49.0,2026-04-24,0.6128571428571429,0.705,,3.2041199826559246,1.6901960800285136,27.766666666666666,2.3138888888888887,2026-04-24
